yl1.1.1; kirj; t
yl1.1.2; kirj; t
yl1.1.3; kirj; t
yl1.1.4; kirj; t
yl1.2.1; kirj; t
yl1.2.2; kirj; t
yl1.2.3; kirj; t
yl1.2.4; kirj; t
yl1.3.1; kirj; t
yl1.3.2; kirj; t
yl1.3.3; kirj; t
yl1.3.4; kirj; t
yl1.4.1; kirj; t
yl1.4.4; kirj; t
yl1.4.5; kirj; t
yl1.4.7; kirj; t
yl1.5; kirj; t
-----
yl2.8; kirj; t
yl2.9; kirj; t
yl2.10; kirj; t
yl2.11; kirj; t
yl2.12; kirj; t
yl2.13.1; kirj; a
yl2.13.2; Leidke $\min X$, $\max X$, $\inf X$ ja $\sup X$, kui $X:=\{\frac{2n+1}{2n+3}:n\in\mathbb{N}\}$; a
yl2.13.3; Leidke $\min X$, $\max X$, $\inf X$ ja $\sup X$, kui $X:=\{\frac{(-1)^nn-1}{n+2}:n\in\mathbb{N}\}$; a
yl2.13.4; Leidke $\min X$, $\max X$, $\inf X$ ja $\sup X$, kui $X:=\{\sqrt{x^2+1}-x:x\in\mathbb{R}\}$; a
yl2.13.5; Leidke $\min X$, $\max X$, $\inf X$ ja $\sup X$, kui $X:=\{\frac{p}{q}:p,q\in\mathbb{N}\}$; a
yl2.13.6; kirj; a
yl2.14.1; kirj; t
yl2.14.2; kirj; t
yl2.14.3; kirj; t
yl2.14.4; kirj; t
yl2.14.5; kirj; t
-----
yl3.17; kirj; t
yl3.18.1; kirj; t
yl3.18.2; kirj; t
yl3.18.3; kirj; t
yl3.18.4; kirj; t
yl3.18.5; kirj; t
yl3.18.6; kirj; t
yl3.19; kirj; t
yl3.20; kirj; t
yl3.21; kirj; t
yl3.22.1; kirj; t
yl3.22.2; kirj; t
yl3.23.1; Lähtudes jada piirväärtuse definitsioonist, näidake, et kehtib võrdus $\lim_{n\to\infty}\frac{1}{3+\sqrt{2n}}=0$; t
yl3.23.3; Lähtudes jada piirväärtuse definitsioonist, näidake, et kehtib võrdus $\lim_{n\to\infty}\frac{7n}{2+n}=7$; t
yl3.23.4; Lähtudes jada piirväärtuse definitsioonist, näidake, et kehtib võrdus $\lim_{n\to\infty}\frac{(-1)^n}{1+\sqrt{n}}=0$; t
yl3.23.6; Lähtudes jada piirväärtuse definitsioonist, näidake, et kehtib võrdus $\lim_{n\to\infty}\frac{n+8}{n^2-25}$; t
yl3.23.8; Lähtudes jada piirväärtuse definitsioonist, näidake, et kehtib võrdus $\lim_{n\to\infty}\frac{n^2+1}{n+1}=\infty$; t
yl3.24; kirj; t
-----
yl4.27.1; kirj; t
yl4.27.2; kirj; t
yl4.27.3; kirj; t
yl4.28; kirj; t
yl4.29; kirj; t
yl4.30; kirj; t
yl4.31; kirj; t
yl4.32; kirj; t
yl4.33; kirj; t
yl4.34.1; Leida järgmise jada piirväärtus: $\lim_{n\to\infty}n^2-(-1)^n$; a
yl4.34.3; Leida järgmise jada piirväärtus: $\lim_{n\to\infty}\frac{(-1)^n}{n}+n^2\sin(n\pi)$; a
